,diputado,partido,id_diputado,distrito,voto
0,Sr. Florcita Alarcón,Partido: PH,1008,Distrito: N°17,1
1,Sr. Jorge Alessandri,Partido: UDI,1009,Distrito: N°10,2
2,Sr. René Alinco,Partido: IND,803,Distrito: N°27,1
3,Sr. Sebastián Álvarez,Partido: EVOP,1010,Distrito: N°23,2
4,Sra. Jenny Álvarez,Partido: PS,968,Distrito: N°26,1
5,Sr. Pedro Pablo Alvarez-Salamanca,Partido: UDI,923,Distrito: N°17,1
6,Sra. Sandra Amar,Partido: UDI,1011,Distrito: N°28,1
7,Sr. Gabriel Ascencio,Partido: DC,810,Distrito: N°26,1
8,Sr. Pepe Auth,Partido: IND,925,Distrito: N°8,0
9,Sr. Nino Baltolu,Partido: UDI,926,Distrito: N°1,0
10,Sr. Boris Barrera,Partido: PC,1012,Distrito: N°9,1
11,Sr. Ramón Barros,Partido: UDI,811,Distrito: N°16,2
12,Sr. Jaime Bellolio,Partido: UDI,970,Distrito: N°14,2
13,Sr. Bernardo Berger,Partido: RN,971,Distrito: N°24,0
14,Sr. Alejandro Bernales,Partido: LIBERAL,1013,Distrito: N°26,1
15,Sr. Karim Bianchi,Partido: IND,1014,Distrito: N°28,1
16,Sr. Sergio Bobadilla,Partido: UDI,815,Distrito: N°20,2
17,Sr. Gabriel Boric,Partido: PCS,972,Distrito: N°28,1
18,Sr. Jorge Brito,Partido: RD,1015,Distrito: N°7,1
19,Sr. Miguel Ángel Calisto,Partido: DC,1016,Distrito: N°27,1
20,Sra. Karol Cariola,Partido: PC,973,Distrito: N°9,1
21,Sr. Álvaro Carter,Partido: UDI,1017,Distrito: N°12,1
22,Sra. Loreto Carvajal,Partido: PPD,974,Distrito: N°19,1
23,Sra. Natalia Castillo,Partido: RD,1018,Distrito: N°10,1
24,Sr. José Miguel Castro,Partido: RN,1019,Distrito: N°3,0
25,Sr. Juan Luis Castro,Partido: PS,931,Distrito: N°15,1
26,Sr. Ricardo Celis,Partido: PPD,1020,Distrito: N°23,1
27,Sr. Andrés Celis,Partido: RN,1021,Distrito: N°7,1
28,Sra. Daniella Cicardini,Partido: PS,975,Distrito: N°4,1
29,Sra. Sofía Cid,Partido: RN,1022,Distrito: N°4,2
30,Sr. Juan Antonio Coloma,Partido: UDI,976,Distrito: N°14,2
31,Sr. Miguel Crispi,Partido: RD,1023,Distrito: N°12,1
32,Sr. Luciano Cruz-Coke,Partido: EVOP,1024,Distrito: N°10,2
33,Sra. Catalina Del Real,Partido: RN,1025,Distrito: N°11,2
34,Sr. Mario Desbordes,Partido: RN,1026,Distrito: N°8,0
35,Sr. Marcelo Díaz,Partido: IND,827,Distrito: N°7,1
36,Sr. Jorge Durán,Partido: RN,1027,Distrito: N°9,1
37,Sr. Eduardo Durán,Partido: RN,1028,Distrito: N°13,1
38,Sr. Francisco Eguiguren,Partido: RN,1029,Distrito: N°5,2
39,Sr. Fidel Espinoza,Partido: PS,837,Distrito: N°25,1
40,Sra. Maya Fernández,Partido: PS,981,Distrito: N°10,1
41,Sr. Iván Flores,Partido: DC,982,Distrito: N°24,1
42,Sra. Camila Flores,Partido: RN,1030,Distrito: N°6,2
43,Sr. Juan Fuenzalida,Partido: UDI,1031,Distrito: N°5,2
44,Sr. Gonzalo Fuenzalida,Partido: RN,984,Distrito: N°11,2
45,Sr. Sergio Gahona,Partido: UDI,985,Distrito: N°5,2
46,Sr. Ramón Galleguillos,Partido: RN,1032,Distrito: N°2,1
47,Sr. René Manuel García,Partido: RN,843,Distrito: N°23,0
48,Sr. Renato Garín,Partido: IND,1033,Distrito: N°14,1
49,Sra. Cristina Girardi,Partido: PPD,936,Distrito: N°9,1
50,Sr. Félix González,Partido: PEV,1034,Distrito: N°20,1
51,Sr. Rodrigo González,Partido: PPD,848,Distrito: N°7,1
52,Sr. Hugo Gutiérrez,Partido: PC,937,Distrito: N°2,1
53,Sr. Javier Hernández,Partido: UDI,850,Distrito: N°25,0
54,Sra. Marcela Hernando,Partido: PR,986,Distrito: N°3,1
55,Sra. Carmen Hertz,Partido: PC,1035,Distrito: N°8,1
56,Sr. Tomás Hirsch,Partido: IND,1036,Distrito: N°11,1
57,Sra. María José Hoffmann,Partido: UDI,940,Distrito: N°7,2
58,Sr. Diego Ibáñez,Partido: PCS,1037,Distrito: N°6,1
59,Sr. Marcos Ilabaca,Partido: PS,1038,Distrito: N°24,1
60,Sr. Giorgio Jackson,Partido: RD,987,Distrito: N°10,1
61,Sr. Carlos Abel Jarpa,Partido: IND,855,Distrito: N°19,1
62,Sra. Pamela Jiles,Partido: PH,1039,Distrito: N°12,1
63,Sr. Tucapel Jiménez,Partido: PPD,856,Distrito: N°13,1
64,Sr. Harry Jürgensen,Partido: RN,1040,Distrito: N°25,2
65,Sr. Pablo Kast,Partido: EVOP,1041,Distrito: N°6,2
66,Sr. Sebastián Keitel,Partido: EVOP,1042,Distrito: N°9,3
67,Sr. Issa Kort,Partido: UDI,967,Distrito: N°15,2
68,Sr. Carlos Kuschel,Partido: RN,172,Distrito: N°26,2
69,Sr. Amaro Labra,Partido: PC,1043,Distrito: N°12,1
70,Sr. Joaquín Lavín,Partido: UDI,989,Distrito: N°8,0
71,Sr. Raúl Leiva,Partido: PS,1044,Distrito: N°14,1
72,Sra. Aracely Leuquén,Partido: RN,1045,Distrito: N°27,1
73,Sr. Andrés Longton,Partido: RN,1046,Distrito: N°6,0
74,Sr. Pablo Lorenzini,Partido: IND,862,Distrito: N°17,1
75,Sra. Karin Luck,Partido: RN,1047,Distrito: N°11,2
76,Sr. Javier Macaya,Partido: UDI,942,Distrito: N°15,2
77,Sra. Carolina Marzán,Partido: PPD,1048,Distrito: N°6,1
78,Sr. Manuel Matta,Partido: DC,660,Distrito: N°18,1
79,Sr. Patricio Melero,Partido: UDI,865,Distrito: N°8,2
80,Sr. Cosme Mellado,Partido: PR,1049,Distrito: N°16,1
81,Sr. Miguel Mellado,Partido: RN,1050,Distrito: N°23,0
82,Sr. Fernando Meza,Partido: IND,866,Distrito: N°23,1
83,Sr. Vlado Mirosevic,Partido: LIBERAL,991,Distrito: N°1,1
84,Sra. Claudia Mix,Partido: COMUNES,1051,Distrito: N°8,1
85,Sr. Andrés Molina,Partido: EVOP,1052,Distrito: N°23,2
86,Sr. Manuel Monsalve,Partido: PS,869,Distrito: N°21,1
87,Sr. Celso Morales,Partido: UDI,945,Distrito: N°17,0
88,Sr. Cristhian Moreira,Partido: UDI,1053,Distrito: N°13,1
89,Sr. Jaime Mulet,Partido: FRVS,872,Distrito: N°4,1
90,Sra. Francesca Muñoz,Partido: RN,1054,Distrito: N°20,0
91,Sr. Jaime Naranjo,Partido: PS,74,Distrito: N°18,1
92,Sr. Nicolás Noman,Partido: UDI,1055,Distrito: N°4,2
93,Sr. Iván Norambuena,Partido: UDI,875,Distrito: N°21,0
94,Sr. Daniel Núñez,Partido: PC,993,Distrito: N°5,1
95,Sra. Paulina Núñez,Partido: RN,994,Distrito: N°3,0
96,Sra. Emilia Nuyado,Partido: PS,1056,Distrito: N°25,1
97,Sra. Erika Olivera,Partido: IND,1057,Distrito: N°9,1
98,Sra. Maite Orsini,Partido: RD,1058,Distrito: N°9,1
99,Sr. José Miguel Ortiz,Partido: DC,879,Distrito: N°20,1
100,Sra. Ximena Ossandón,Partido: RN,1059,Distrito: N°12,0
